AdvisorID,AdvisorName,Channel,Province,Region,StartDate,ActiveFlag,Email
ADV5876819,Benjamin Stevens,Career Sales Force,ON,Central,2017-06-08,1,wandamcpherson@hotmail.com
ADV5427960,Matthew Robbins,Career Sales Force,AB,West,2016-07-15,1,rburns@gmail.com
ADV4737705,Theresa Williamson,Digital/Direct,QC,East,2008-10-09,1,colleensimmons@baker.com
ADV1438845,Jacob Owens,Career Sales Force,ON,Central,2008-05-26,1,mmurray@yahoo.com
ADV6667981,Anthony Mcgrath,Group Plan Sponsor,ON,Central,2009-10-09,1,phillipssarah@hotmail.com
ADV4455742,John Coleman,Career Sales Force,QC,East,2023-07-31,1,xperez@brown-morales.com
ADV4830916,Amber Perez,Independent Advisor,NS,East,2019-12-10,1,lshaffer@carroll.com
ADV8232111,Bradley Clark,Independent Advisor,QC,East,2017-09-09,1,jhendricks@yahoo.com
ADV4508608,Jennifer Mejia,Independent Advisor,QC,East,2015-12-19,0,kevinsantana@jacobs-caldwell.org
ADV0545992,Timothy Bonilla,Independent Advisor,BC,West,2008-10-14,1,johnhouston@keith-sanchez.com
ADV5978425,Nicole Wilson,Independent Advisor,ON,Central,2018-09-25,1,keithhannah@wall.com
ADV8967534,Robert Nguyen,Digital/Direct,QC,East,2009-06-01,1,jhardin@gmail.com
ADV4857075,Cynthia Banks,Independent Advisor,ON,Central,2015-06-16,1,beth42@yahoo.com
ADV9441878,Christie Miller,Career Sales Force,ON,Central,2009-07-06,1,lelisa@ray-fox.com
ADV0280549,Jeffrey Ford,Career Sales Force,BC,West,2008-03-09,1,russellwebb@diaz-cameron.com
ADV8825790,Philip Jones,Independent Advisor,MB,Central,2012-03-25,1,jacob59@gmail.com
ADV9316710,Richard Davis,Independent Advisor,MB,Central,2023-10-01,1,graytaylor@yahoo.com
ADV8919992,Karen Alvarez,Independent Advisor,MB,Central,2011-10-21,1,woodrachel@yahoo.com
ADV5996102,Cindy Jones,Independent Advisor,QC,East,2016-11-25,1,deanjason@gmail.com
ADV0107558,Daniel Miranda,Independent Advisor,ON,Central,2021-01-06,1,hgilbert@hotmail.com
ADV4424159,Luis Silva,Bank/Partner,QC,East,2013-10-12,1,jonathoncarlson@yahoo.com
ADV5268427,Judy Payne,Independent Advisor,NS,East,2009-01-05,1,perezdarin@gillespie-schmitt.biz
ADV1933702,Robert Phillips,Independent Advisor,BC,West,2009-07-18,0,bradyjames@gmail.com
ADV1351379,Lawrence Jones,Independent Advisor,QC,East,2019-11-03,1,brandonchapman@estrada-oconnor.org
ADV0605872,Melissa Andrews,Digital/Direct,BC,West,2013-08-04,0,jennifer07@yahoo.com
ADV2782046,Holly Sherman,Independent Advisor,BC,West,2019-06-17,1,scottgriffin@gmail.com
ADV4987087,Brittany Bailey,Group Plan Sponsor,SK,West,2018-05-08,1,marcuscurtis@hotmail.com
ADV3589506,Mark Johnson,Career Sales Force,BC,West,2012-08-01,1,careycarrie@yahoo.com
ADV6082853,Stephanie Gross,Independent Advisor,QC,East,2022-10-05,1,nicholaswells@flores.com
ADV0073829,Brittney Marshall,Independent Advisor,ON,Central,2010-12-02,1,robertbrown@gmail.com
ADV9169308,Janice Anderson,Independent Advisor,QC,East,2023-01-08,1,nicholasmiller@marshall.biz
ADV4086020,Ashley Cooper,Career Sales Force,ON,Central,2021-12-03,1,susankrueger@clark.com
ADV9075588,Rachel Edwards,Independent Advisor,SK,West,2010-11-28,1,uwhite@yahoo.com
ADV1016502,Michael Silva,Independent Advisor,QC,East,2022-01-09,1,jacobsraymond@hotmail.com
ADV5739974,Emily Gutierrez,Digital/Direct,QC,East,2015-01-12,1,nmassey@gmail.com
ADV8754851,Joshua Thompson,Independent Advisor,ON,Central,2022-01-29,1,halldan@hotmail.com
ADV9066504,Margaret Flynn,Career Sales Force,QC,East,2014-01-31,1,richardsonstephen@gmail.com
ADV8268953,Michael Castillo,Independent Advisor,QC,East,2023-11-18,1,hboyd@smith.com
ADV6467727,Johnathan Houston,Independent Advisor,ON,Central,2016-02-29,1,brightashley@gmail.com
ADV5968997,Gary Madden,Career Sales Force,MB,Central,2018-10-21,1,amberburke@joseph.info
ADV5134754,Andrew Cortez,Independent Advisor,ON,Central,2023-12-19,1,tiffanylowery@gmail.com
ADV1740281,Robin Humphrey,Independent Advisor,QC,East,2008-02-25,0,srichardson@gmail.com
ADV4501952,Tracey Reed,Career Sales Force,ON,Central,2014-12-31,1,dlee@craig.biz
ADV1477178,Sarah Stewart,Independent Advisor,QC,East,2021-03-29,1,lauraponce@munoz.info
ADV2095732,Ashley Edwards,Independent Advisor,BC,West,2023-07-30,1,brandiparker@gmail.com
ADV2241859,Roberto Willis,Bank/Partner,MB,Central,2013-05-27,1,patricia62@fleming.org
ADV5351871,Kevin Thomas,Independent Advisor,ON,Central,2016-07-24,1,mike02@gmail.com
ADV5521725,Brenda Fuller,Career Sales Force,NB,East,2022-09-23,1,taylorjasmine@yahoo.com
ADV2603546,Chris Sharp,Group Plan Sponsor,BC,West,2019-04-01,1,ashleytaylor@turner.com
ADV1473187,Darlene Lara,Independent Advisor,ON,Central,2008-11-08,0,joseph47@gmail.com
ADV6777505,Patrick Green,Career Sales Force,ON,Central,2013-02-27,1,ctaylor@gmail.com
ADV2749559,Cathy Stein,Bank/Partner,ON,Central,2010-09-16,1,sheriguerrero@fisher.org
ADV4338714,Jacob Anderson,Career Sales Force,MB,Central,2016-05-06,0,benjamin45@robinson.com
ADV3607721,Deborah Davis,Bank/Partner,ON,Central,2023-06-18,0,garrettritter@gmail.com
ADV6297959,Dennis Johnson,Independent Advisor,QC,East,2010-04-05,1,nelsontimothy@mcdonald.com
ADV0206523,Mike Baldwin,Group Plan Sponsor,BC,West,2009-05-13,1,xtodd@hotmail.com
ADV6156223,Richard Anderson,Group Plan Sponsor,MB,Central,2011-10-08,1,halljoseph@stanton.com
ADV5235151,Mark Jordan,Career Sales Force,BC,West,2016-08-25,1,nichole56@white-ramirez.com
ADV1220938,Trevor Hamilton,Bank/Partner,BC,West,2014-09-01,1,martinezstephanie@gmail.com
ADV9881375,Jessica Richardson,Career Sales Force,ON,Central,2010-11-21,1,johnsonjohn@hotmail.com
ADV0588323,Amber Lewis,Independent Advisor,MB,Central,2009-10-04,1,ulong@yahoo.com
ADV2334023,Samantha Huynh,Independent Advisor,ON,Central,2020-07-03,1,margaretmcdowell@yahoo.com
ADV1869519,Carl Mcintyre,Career Sales Force,ON,Central,2011-03-17,1,nrice@hernandez.com
ADV4634425,Allen Parker,Career Sales Force,NB,East,2020-12-02,1,richeric@knight-green.net
ADV7018596,Denise White,Career Sales Force,ON,Central,2017-04-19,1,glenn06@gmail.com
ADV6863523,Steven Baker,Career Sales Force,ON,Central,2018-12-19,1,crystalsilva@cruz-wright.com
ADV6165307,Lindsey Bryan,Career Sales Force,QC,East,2013-08-21,1,robertowall@yahoo.com
ADV8746433,Alexandra Munoz,Digital/Direct,ON,Central,2015-12-11,1,ian62@young.biz
ADV2961815,Chad Watson,Independent Advisor,ON,Central,2014-06-27,1,michelle97@yahoo.com
ADV1369982,Rebecca White,Bank/Partner,QC,East,2011-01-09,1,jacobharvey@whitaker-hartman.com
ADV0992060,Patricia Elliott,Bank/Partner,BC,West,2018-07-02,1,richardsullivan@gordon.info
ADV0941635,Kurt Patel,Independent Advisor,AB,West,2009-09-09,1,benjamin44@yahoo.com
ADV8268494,Kevin Klein,Independent Advisor,ON,Central,2013-03-21,1,novakadam@gmail.com
ADV4868772,William Snyder,Digital/Direct,QC,East,2014-03-10,1,pvaughan@gmail.com
ADV3862371,Dennis Walter,Independent Advisor,AB,West,2022-10-31,1,jasonturner@yahoo.com
ADV1727595,Justin Knight,Independent Advisor,ON,Central,2019-04-01,1,joeleonard@blevins-johnston.com
ADV8829710,Steven Sanchez,Digital/Direct,ON,Central,2008-01-26,1,smueller@hotmail.com
ADV2039404,Allison Martinez,Independent Advisor,ON,Central,2009-06-12,1,nlucas@henderson-morgan.com
ADV2807406,Chad Knight,Independent Advisor,QC,East,2018-06-24,1,clarkjames@gmail.com
ADV4767401,Sylvia Maddox,Digital/Direct,ON,Central,2022-04-28,1,jeffreywalker@gmail.com
ADV4374813,Joel Sharp,Independent Advisor,BC,West,2008-11-02,1,sarah60@hendricks.com
ADV7137575,James Savage,Bank/Partner,NS,East,2015-11-13,1,richardmoran@yahoo.com
ADV8891512,Erika Jackson,Career Sales Force,ON,Central,2011-01-10,0,brittany95@wilkerson.net
ADV3648267,Peggy Vargas,Career Sales Force,BC,West,2018-07-12,1,mercerkyle@jackson.net
ADV9270549,Mike Wilson,Independent Advisor,ON,Central,2009-02-21,1,davissarah@yahoo.com
ADV7984705,Allen Thomas,Career Sales Force,ON,Central,2008-08-31,1,hday@santana.com
ADV0796829,Isaiah Brooks,Group Plan Sponsor,BC,West,2011-05-30,1,waderita@yahoo.com
ADV5676366,Melissa Miller,Career Sales Force,QC,East,2008-11-24,1,hughesjohnny@gmail.com
ADV8455100,Cindy Robinson,Independent Advisor,NS,East,2020-06-09,1,jkerr@fletcher-rodriguez.com
ADV6487113,John Murphy,Career Sales Force,QC,East,2013-10-15,1,fmeyer@yahoo.com
ADV9010496,Adrian Collins,Group Plan Sponsor,ON,Central,2013-09-06,1,george27@thompson.com
ADV4135279,Mitchell Crane,Independent Advisor,QC,East,2019-09-09,1,stephanieduncan@yahoo.com
ADV2217422,Jeffrey Hines,Career Sales Force,ON,Central,2020-06-09,1,nsoto@hotmail.com
ADV0462046,Robert Contreras,Career Sales Force,MB,Central,2016-03-20,1,tbryant@gmail.com
ADV3217875,Cynthia Smith,Independent Advisor,BC,West,2017-06-11,1,laurenballard@gmail.com
ADV7303769,Stephanie Hudson,Group Plan Sponsor,ON,Central,2015-03-27,1,leaherickson@yahoo.com
ADV9202880,Adam Arellano,Group Plan Sponsor,QC,East,2017-02-18,1,cynthia18@hotmail.com
ADV1569720,Donna Jimenez,Career Sales Force,BC,West,2023-12-20,1,zwarner@yahoo.com
ADV6595530,Ashley Horne,Independent Advisor,AB,West,2016-03-06,1,caseyanthony@gmail.com
ADV8817348,Amber White,Career Sales Force,ON,Central,2020-02-01,1,hughesnicole@francis.biz
ADV8138908,Alexis Ibarra,Independent Advisor,ON,Central,2021-01-13,0,croberson@perez.net
ADV4506667,Clinton Bennett,Independent Advisor,ON,Central,2023-12-20,1,karenmerritt@gonzalez-knapp.com
ADV9879665,Taylor Henry,Career Sales Force,ON,Central,2018-08-14,1,hoffmanerika@yahoo.com
ADV7054906,Adrian Harrington,Independent Advisor,QC,East,2019-07-21,0,john17@gmail.com
ADV1882849,Travis Hernandez,Digital/Direct,ON,Central,2019-10-24,1,rachel79@gmail.com
ADV7024219,Timothy Tran,Career Sales Force,ON,Central,2010-12-20,1,martinezrobert@hotmail.com
ADV8421930,John Chen,Career Sales Force,QC,East,2021-04-16,1,lopezmaxwell@hotmail.com
ADV3463969,Denise Gonzalez,Career Sales Force,ON,Central,2019-11-29,1,donnagilbert@yahoo.com
ADV3636739,Michelle Mitchell,Career Sales Force,SK,West,2020-04-15,1,james40@barnes.com
ADV8827119,Kaitlin Pineda,Career Sales Force,QC,East,2013-11-30,1,beckellen@clark-wells.info
ADV1843067,Herbert Daugherty,Independent Advisor,ON,Central,2016-08-03,0,christopherharris@mcintyre.info
ADV4835251,Casey Washington,Career Sales Force,QC,East,2013-08-18,1,dylanrobinson@hotmail.com
ADV4554652,Tara Turner,Independent Advisor,ON,Central,2011-12-20,1,wadejavier@gmail.com
ADV2697698,Valerie Whitney,Digital/Direct,AB,West,2023-01-08,1,samanthamurphy@gmail.com
ADV5166288,Sarah Singh,Digital/Direct,QC,East,2010-06-20,1,erindavis@gmail.com
ADV3411232,Terry Davidson,Independent Advisor,QC,East,2018-10-23,0,carriepugh@gmail.com
ADV1463527,Jeffrey Lee,Career Sales Force,MB,Central,2008-11-14,1,ericawilliams@yahoo.com
ADV6908306,Lynn Adams,Career Sales Force,AB,West,2023-07-30,1,wfoster@peterson-sanford.com
ADV1192521,Courtney Doyle,Career Sales Force,AB,West,2016-07-02,1,llewis@gmail.com
ADV0044032,David Lewis,Group Plan Sponsor,ON,Central,2021-10-13,1,hillwilliam@gmail.com
ADV5969127,Amy Shannon,Group Plan Sponsor,ON,Central,2009-11-17,1,timothywilliams@hotmail.com
ADV3842858,Mrs. Debra Roberts,Independent Advisor,BC,West,2020-08-09,0,chelseamoore@yahoo.com
ADV4161647,Christopher Dominguez,Career Sales Force,QC,East,2012-02-29,1,kbrown@gmail.com
ADV8481195,Lauren Mason,Independent Advisor,BC,West,2021-10-06,1,johnstonlinda@gmail.com
ADV4126894,Caroline Simmons,Career Sales Force,BC,West,2017-12-07,1,wadebenjamin@parker-taylor.biz
ADV4104514,Anna Edwards,Group Plan Sponsor,ON,Central,2022-05-21,1,patrickwest@gmail.com
ADV6893386,Tony Freeman,Career Sales Force,ON,Central,2016-05-11,1,emily71@walsh.com
ADV2614390,Megan Watson,Independent Advisor,QC,East,2017-11-06,1,martinlisa@hotmail.com
ADV8206610,Benjamin Price,Independent Advisor,ON,Central,2020-07-03,0,benjaminsolis@sanchez.com
ADV1417078,Jose Taylor,Career Sales Force,BC,West,2021-10-11,1,larryreed@gmail.com
ADV7990373,Samuel Ortiz,Independent Advisor,BC,West,2019-02-23,1,smithdakota@bryan-price.org
ADV7793302,Sierra Martinez,Digital/Direct,QC,East,2008-12-03,1,ifreeman@gmail.com
ADV2448770,Carlos Atkins,Career Sales Force,BC,West,2013-07-08,1,nosborne@hotmail.com
ADV4724778,Eric Cook,Independent Advisor,QC,East,2016-12-21,1,omeadows@stein.info
ADV4336441,Nathan Holland,Independent Advisor,BC,West,2017-05-10,1,robinsonmegan@yahoo.com
ADV4258749,Lee Weaver,Career Sales Force,ON,Central,2010-05-10,1,brendajimenez@wright.com
ADV9473832,Jeffrey Heath,Career Sales Force,BC,West,2013-08-06,1,michael40@gmail.com
ADV1828054,Johnathan Morales,Career Sales Force,BC,West,2018-06-22,1,jenniferweber@price-williams.com
ADV4103474,Matthew Hernandez,Career Sales Force,ON,Central,2020-08-21,1,hgreen@duffy.com
ADV2264945,Jason Hansen,Independent Advisor,QC,East,2019-04-15,1,samanthalee@gmail.com
ADV0183450,Shannon Lin,Bank/Partner,AB,West,2009-02-14,1,joshua52@martinez.com
ADV5314415,Robin Ross,Independent Advisor,ON,Central,2011-05-08,1,mackcaroline@farley.net
ADV7296707,Susan Martinez,Digital/Direct,BC,West,2019-07-15,1,scottperry@gmail.com
ADV3782206,Scott Cox,Independent Advisor,NS,East,2008-12-03,1,ihill@ferguson-wagner.com
ADV7413491,Nicole Griffith,Independent Advisor,MB,Central,2023-12-04,1,parkermichelle@roberson-reyes.com
ADV3628937,Bryan Lewis,Independent Advisor,ON,Central,2021-05-17,1,mitchelljerry@yahoo.com
ADV7610312,Robert Fletcher,Career Sales Force,QC,East,2014-08-26,1,robin68@gmail.com
ADV6520247,Jason Hernandez,Career Sales Force,PE,East,2014-04-23,1,dortiz@yahoo.com
ADV3250205,Amy Molina,Independent Advisor,QC,East,2019-01-30,1,millerchristopher@yahoo.com
ADV4563891,Dana Parks,Bank/Partner,ON,Central,2020-06-22,1,gregorymurphy@gmail.com
ADV9125031,Jamie Walker,Independent Advisor,ON,Central,2013-04-14,1,swalker@day.com
ADV4892544,Christopher Freeman,Career Sales Force,AB,West,2020-08-07,1,cgutierrez@yahoo.com
ADV6940993,Angela Rivas,Group Plan Sponsor,QC,East,2019-07-19,1,blairpaula@munoz-drake.org
ADV5854985,Kevin Russell,Career Sales Force,ON,Central,2018-12-10,1,justinchang@curry.net
ADV1462560,Samantha Marshall,Group Plan Sponsor,ON,Central,2010-03-27,1,oscar58@hotmail.com
ADV5725706,David Crawford,Bank/Partner,BC,West,2021-08-22,1,sgreen@everett.com
ADV2360049,Samantha Pearson,Bank/Partner,QC,East,2013-12-16,1,timothy91@kelly-dean.com
ADV0704440,Brittany Soto,Bank/Partner,MB,Central,2013-05-25,1,mward@hotmail.com
ADV7276536,Robert Clark,Career Sales Force,BC,West,2016-01-13,1,bellnancy@hotmail.com
ADV9992539,Christine Alexander,Independent Advisor,NB,East,2019-08-14,0,joelcox@carter.com
ADV9813773,Shawn Horn,Bank/Partner,MB,Central,2020-03-31,1,croth@yahoo.com
ADV1164480,Ethan Moran,Independent Advisor,ON,Central,2008-06-17,1,jfrancis@hayes.com
ADV7299532,David Huynh,Career Sales Force,BC,West,2009-09-08,1,dylan02@sellers.com
ADV1914468,Christine Prince,Career Sales Force,ON,Central,2015-09-04,1,gabrielle63@steele.com
ADV5754124,Kenneth Rivera,Career Sales Force,PE,East,2019-11-21,1,tsmith@jones.com
ADV0344897,Wendy Palmer,Independent Advisor,ON,Central,2008-07-30,0,gonzaleslori@thompson.com
ADV0475444,Kristin Taylor,Independent Advisor,BC,West,2021-02-01,1,jaredgarrison@gonzalez-owens.com
ADV5152685,Allison Daniel,Bank/Partner,AB,West,2012-03-28,1,ievans@gmail.com
ADV3964002,David Yu,Bank/Partner,ON,Central,2010-09-30,1,vickipayne@gmail.com
ADV2759595,Carl Garcia,Independent Advisor,AB,West,2017-05-28,1,dawsonlori@hotmail.com
ADV3742463,Spencer Young,Career Sales Force,ON,Central,2020-09-14,1,graywendy@hotmail.com
ADV7942481,Glenda Castillo,Independent Advisor,QC,East,2020-11-03,1,cynthiascott@gmail.com
