ClientID,ClientNaturalKey,FirstName,LastName,DOB,Age,Gender,Province,City,PostalFSA,Segment,PreferredLanguage,DigitalPreference,RiskTier,EmployerID,AdvisorID,JoinDate
CLT563229690,C7161930103,Tara,Guerra,1959-08-09,66,F,AB,Fletcherbury,S5J,Mass,Bilingual,App,Low,,,2013-11-28
CLT444300741,C1762170920,Brandon,Hall,1967-07-07,58,F,ON,North Anneton,A3E,Mass,EN,Web,Low,EMP22295496,ADV5426850,2020-10-01
CLT394911569,C7580453014,Brian,Harris,1972-10-24,53,M,ON,New Ericmouth,Y7M,Mass,EN,App,Low,EMP25686980,,2025-05-26
CLT425310761,C5469015130,William,Oneill,1997-03-12,28,F,MB,Fuentesville,N2S,Mass,FR,Call Centre,Low,,ADV1843067,2010-01-07
CLT588406595,C0115598596,Courtney,Richard,1974-02-20,51,M,QC,Jillview,N7S,Mass,FR,Web,Low,EMP91259675,ADV1473187,2015-08-19
CLT755342493,C9681990941,Sonya,Hill,1946-09-16,79,M,ON,Tinaberg,T1H,Mass,FR,Call Centre,Med,EMP57347070,ADV0194139,2021-09-09
CLT491244374,C7265697523,Jacob,Ochoa,1962-06-21,63,M,AB,Valentinehaven,K9R,Mass,Bilingual,Call Centre,High,,ADV2443329,2017-05-06
CLT348920046,C1304092718,Bryan,Esparza,1958-05-04,67,F,ON,East Daniel,X1N,Affluent,EN,Call Centre,Low,EMP29938798,,2021-05-18
CLT053964514,C0023875182,Richard,Jennings,1969-02-16,56,X/Other,AB,New Ashleyton,R3V,Mass,EN,Advisor,Med,,ADV1464332,2017-03-17
CLT313659265,C6825753260,Shannon,Medina,1963-04-09,62,M,AB,East Tracytown,P7M,Mass,Bilingual,Advisor,High,EMP11153925,,2018-09-01
CLT897456828,C5821551504,Alan,Olson,1948-01-09,77,M,AB,Lake Robertton,G5T,Mass,Bilingual,App,Med,EMP17940815,ADV6220712,2013-08-31
CLT802252310,C0890631780,Amber,Thompson,1967-06-18,58,M,BC,West Michael,G2P,Affluent,EN,App,Med,,,2010-10-14
CLT435228821,C1903951055,Joshua,Parker,1953-01-09,72,M,QC,Campbellburgh,A5Y,Mass,EN,Advisor,Low,EMP76485442,ADV1039394,2010-07-13
CLT964624371,C5293992746,Angela,Hughes,1972-04-22,53,M,ON,Bakerhaven,K6X,Affluent,EN,Call Centre,Low,EMP77383092,ADV5314257,2024-06-28
CLT481188405,C5951807750,Tonya,Lynch,1986-09-24,39,M,AB,East Kristina,P4V,Mass,EN,Web,Med,,ADV0708482,2011-02-05
CLT251866529,C3785424694,Rebekah,Pacheco,2001-05-25,24,M,ON,Stephanieshire,N9P,Affluent,EN,Call Centre,Low,EMP16277695,ADV5699558,2020-12-30
CLT239017355,C0148529206,Kim,Ross,2001-11-09,24,F,QC,West Dawnside,N2V,Mass,EN,App,Low,,,2024-03-30
CLT864573149,C0413359611,Karina,Rodriguez,1977-10-08,48,F,ON,North Latoyaview,A6B,Mass,Bilingual,Call Centre,Low,,ADV5725706,2023-07-22
CLT119812677,C3843214148,Anthony,Zimmerman,1981-12-16,44,F,ON,Port Caitlin,H1S,Mass,Bilingual,App,Med,EMP27277472,ADV4603208,2014-02-25
CLT858546468,C1017000809,Alicia,White,1971-09-06,54,M,BC,North Renee,V2M,Mass,FR,Web,Low,,,2015-05-19
CLT950622847,C5290102956,Savannah,Howell,1971-10-08,54,M,SK,South Stephanie,X4V,Mass,Bilingual,Call Centre,Low,,ADV7830378,2021-05-20
CLT366815448,C2994484922,Shannon,Sullivan,1967-12-12,58,M,ON,Kimberlyside,K5B,Affluent,EN,Advisor,Low,EMP13371321,ADV0641106,2019-04-28
CLT153822040,C1082551619,Elizabeth,Perkins,1955-07-21,70,F,QC,Annview,L2A,Mass,EN,Call Centre,Low,,ADV8967534,2011-03-21
CLT524660135,C4750895832,Andrew,Harris,2002-11-27,23,M,SK,Frazierburgh,E8R,Mass,Bilingual,App,Low,EMP31358376,ADV4319050,2021-10-04
CLT810698505,C7822256710,Rebecca,Hayes,1975-11-13,50,M,ON,Diazberg,X1V,Mass,EN,Call Centre,High,EMP41392161,,2014-02-12
CLT444571004,C7745153690,Thomas,Miles,1985-07-03,40,M,BC,Port Jackborough,H5A,Affluent,EN,App,Med,EMP17087968,ADV9316710,2012-07-15
CLT574597631,C9111017446,Jason,Howell,1957-08-17,68,M,BC,North Edwardside,P5M,Mass,EN,Call Centre,Med,,ADV6863523,2010-09-01
CLT950409574,C2137180031,Jason,Harper,1993-01-08,32,M,NS,North Carrie,V9T,Mass,EN,App,Low,,,2016-05-28
CLT066272671,C4356200379,Diane,Barnes,2005-05-31,20,M,ON,Kimberlyhaven,G2H,Mass,Bilingual,Web,Low,,ADV5375311,2011-05-24
CLT217264087,C7551360368,Heather,Dillon,1983-08-25,42,F,BC,Fritzmouth,C8J,Mass,EN,Call Centre,Med,EMP40349959,ADV6595530,2025-05-08
CLT287810057,C8962296751,Michelle,Rodriguez,1960-07-03,65,M,ON,Jamesfurt,S8E,Affluent,FR,Advisor,Low,,ADV0350665,2019-09-19
CLT995620106,C5821400783,Laura,Jackson,1991-11-28,34,F,ON,Lake Thomasmouth,V6N,Mass,EN,Call Centre,Low,,ADV8891512,2014-09-19
CLT571979636,C0994966728,Jennifer,Walton,1966-06-04,59,M,QC,Karafurt,K6G,Mass,EN,Web,Med,,ADV9125031,2022-05-18
CLT611601069,C1112781226,Ricky,Lambert,1959-02-08,66,F,BC,East Carlosbury,N8P,Mass,EN,App,Med,EMP39545726,ADV0704440,2019-05-21
CLT415454539,C8036915787,Amy,Fox,1972-08-27,53,M,ON,Mariastad,S1G,Mass,EN,Advisor,Med,EMP26900010,,2018-06-29
CLT530632448,C7501826053,David,Noble,1953-12-01,72,F,ON,Candiceview,J1V,Mass,EN,Web,Low,,ADV6992869,2022-02-14
CLT576803714,C5374794743,Denise,Campbell,1964-10-24,61,F,ON,Lake Natalie,Y2V,Mass,Bilingual,Call Centre,Low,EMP90313520,ADV7137575,2010-02-18
CLT489127149,C6833431027,Richard,Mitchell,2004-11-24,21,M,BC,New Davidburgh,T2C,Mass,Bilingual,Web,Low,,ADV2334023,2010-12-01
CLT991117148,C9242831818,Kimberly,Freeman,1995-05-06,30,F,QC,Donnaton,L5L,Affluent,EN,App,Med,,ADV8540155,2019-12-05
CLT494395167,C5549140669,Larry,Moore,1965-11-20,60,M,QC,West John,N6B,Mass,FR,Call Centre,Med,EMP29419909,ADV1438845,2022-07-19
CLT801676375,C6564903861,Thomas,Carter,1982-12-06,43,F,AB,Katherineville,J2L,Affluent,FR,Web,Low,EMP48141778,,2011-10-17
CLT937177209,C7467757758,Vanessa,Mason,1993-01-24,32,M,QC,East James,T6A,Mass,EN,Advisor,Low,EMP19240120,ADV8283483,2023-06-24
CLT040485230,C4870422982,Dawn,Crawford,1957-09-30,68,M,AB,Lake Philipfurt,V6N,Affluent,Bilingual,App,Med,,ADV4987087,2012-02-02
CLT503020979,C6715694248,Leah,Sullivan,1963-07-01,62,F,ON,Watsonton,K1L,High Net Worth,EN,Web,Med,EMP86884042,,2022-08-23
CLT641994233,C1412046511,Corey,Kramer,1996-02-18,29,F,BC,New Joseph,P8C,Mass,FR,Advisor,Low,EMP32951089,ADV2783919,2024-11-24
CLT906771434,C4119364733,Donna,Armstrong,1945-08-08,80,M,BC,Martinezton,X7S,Mass,EN,Web,Low,EMP49219104,ADV7032682,2021-01-22
